rodada_num,time,pontos,vitorias,modelo,posicao,data_atualizacao,pontos_time,aproveitamento,aproveitamento_recente,media_gols_marcados,media_gols_sofridos,jogos
2,Bahia,2.0,0,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
2,São Paulo,2.0,0,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
2,Atlético-MG,1.0,0,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
2,Bragantino,1.0,0,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
2,Mirassol,1.0,0,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
2,Santos,1.0,0,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,38.0,0.3619047619047619,0.2,1.0285714285714285,1.4285714285714286,35
2,Sport,1.0,0,LogisticRegression_LOSO,19,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
2,Vitória,0.0,0,LogisticRegression_LOSO,20,2025-11-25 18:30:27.237932,39.0,0.37142857142857144,0.5333333333333333,0.9142857142857143,1.3714285714285714,35
3,Flamengo,7.0,2,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
3,Palmeiras,7.0,2,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
3,Fluminense,6.0,2,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,55.0,0.5238095238095238,0.5333333333333333,1.1428571428571428,1.0857142857142856,35
3,Juventude,6.0,2,LogisticRegression_LOSO,4,2025-11-25 18:30:27.237932,33.0,0.3142857142857143,0.4666666666666667,0.9428571428571428,1.8285714285714285,35
3,Vasco,6.0,2,LogisticRegression_LOSO,5,2025-11-25 18:30:27.237932,42.0,0.4,0.0,1.4285714285714286,1.4857142857142858,35
3,Fortaleza,5.0,1,LogisticRegression_LOSO,6,2025-11-25 18:30:27.237932,34.0,0.3333333333333333,0.6,1.088235294117647,1.5588235294117647,34
3,Internacional,5.0,1,LogisticRegression_LOSO,7,2025-11-25 18:30:27.237932,41.0,0.3904761904761905,0.4,1.1428571428571428,1.3714285714285714,35
3,Botafogo,4.0,1,LogisticRegression_LOSO,8,2025-11-25 18:30:27.237932,58.0,0.5523809523809524,0.7333333333333333,1.4285714285714286,0.9142857142857143,35
3,Bragantino,4.0,1,LogisticRegression_LOSO,9,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
3,Ceará,4.0,1,LogisticRegression_LOSO,10,2025-11-25 18:30:27.237932,42.0,0.4,0.4666666666666667,0.9142857142857143,1.0,35
3,Corinthians,4.0,1,LogisticRegression_LOSO,11,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.4,1.0857142857142856,1.2,35
3,Cruzeiro,4.0,1,LogisticRegression_LOSO,12,2025-11-25 18:30:27.237932,68.0,0.6476190476190476,0.7333333333333333,1.4857142857142858,0.7142857142857143,35
3,Grêmio,3.0,1,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,43.0,0.4095238095238095,0.26666666666666666,1.1142857142857143,1.3142857142857143,35
3,Bahia,3.0,0,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
3,São Paulo,3.0,0,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
3,Atlético-MG,2.0,0,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
3,Mirassol,2.0,0,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
3,Santos,1.0,0,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,38.0,0.3619047619047619,0.2,1.0285714285714285,1.4285714285714286,35
3,Sport,1.0,0,LogisticRegression_LOSO,19,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
3,Vitória,1.0,0,LogisticRegression_LOSO,20,2025-11-25 18:30:27.237932,39.0,0.37142857142857144,0.5333333333333333,0.9142857142857143,1.3714285714285714,35
4,Flamengo,10.0,3,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
4,Palmeiras,10.0,3,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
4,Fluminense,9.0,3,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,55.0,0.5238095238095238,0.5333333333333333,1.1428571428571428,1.0857142857142856,35
4,Bragantino,7.0,2,LogisticRegression_LOSO,4,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
4,Ceará,7.0,2,LogisticRegression_LOSO,5,2025-11-25 18:30:27.237932,42.0,0.4,0.4666666666666667,0.9142857142857143,1.0,35
4,Cruzeiro,7.0,2,LogisticRegression_LOSO,6,2025-11-25 18:30:27.237932,68.0,0.6476190476190476,0.7333333333333333,1.4857142857142858,0.7142857142857143,35
4,Juventude,6.0,2,LogisticRegression_LOSO,7,2025-11-25 18:30:27.237932,33.0,0.3142857142857143,0.4666666666666667,0.9428571428571428,1.8285714285714285,35
4,Vasco,6.0,2,LogisticRegression_LOSO,8,2025-11-25 18:30:27.237932,42.0,0.4,0.0,1.4285714285714286,1.4857142857142858,35
4,Botafogo,5.0,1,LogisticRegression_LOSO,9,2025-11-25 18:30:27.237932,58.0,0.5523809523809524,0.7333333333333333,1.4285714285714286,0.9142857142857143,35
4,Fortaleza,5.0,1,LogisticRegression_LOSO,10,2025-11-25 18:30:27.237932,34.0,0.3333333333333333,0.6,1.088235294117647,1.5588235294117647,34
4,Internacional,5.0,1,LogisticRegression_LOSO,11,2025-11-25 18:30:27.237932,41.0,0.3904761904761905,0.4,1.1428571428571428,1.3714285714285714,35
4,Mirassol,5.0,1,LogisticRegression_LOSO,12,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
4,Corinthians,4.0,1,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.4,1.0857142857142856,1.2,35
4,Santos,4.0,1,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,38.0,0.3619047619047619,0.2,1.0285714285714285,1.4285714285714286,35
4,Vitória,4.0,1,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,39.0,0.37142857142857144,0.5333333333333333,0.9142857142857143,1.3714285714285714,35
4,São Paulo,4.0,0,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
4,Grêmio,3.0,1,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,43.0,0.4095238095238095,0.26666666666666666,1.1142857142857143,1.3142857142857143,35
4,Bahia,3.0,0,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
4,Atlético-MG,2.0,0,LogisticRegression_LOSO,19,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
4,Sport,1.0,0,LogisticRegression_LOSO,20,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
5,Palmeiras,13.0,4,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
5,Flamengo,11.0,3,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
5,Bragantino,10.0,3,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
5,Fluminense,10.0,3,LogisticRegression_LOSO,4,2025-11-25 18:30:27.237932,55.0,0.5238095238095238,0.5333333333333333,1.1428571428571428,1.0857142857142856,35
5,Ceará,7.0,2,LogisticRegression_LOSO,5,2025-11-25 18:30:27.237932,42.0,0.4,0.4666666666666667,0.9142857142857143,1.0,35
5,Corinthians,7.0,2,LogisticRegression_LOSO,6,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.4,1.0857142857142856,1.2,35
5,Cruzeiro,7.0,2,LogisticRegression_LOSO,7,2025-11-25 18:30:27.237932,68.0,0.6476190476190476,0.7333333333333333,1.4857142857142858,0.7142857142857143,35
5,Juventude,7.0,2,LogisticRegression_LOSO,8,2025-11-25 18:30:27.237932,33.0,0.3142857142857143,0.4666666666666667,0.9428571428571428,1.8285714285714285,35
5,Vasco,7.0,2,LogisticRegression_LOSO,9,2025-11-25 18:30:27.237932,42.0,0.4,0.0,1.4285714285714286,1.4857142857142858,35
5,São Paulo,7.0,1,LogisticRegression_LOSO,10,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
5,Bahia,6.0,1,LogisticRegression_LOSO,11,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
5,Internacional,6.0,1,LogisticRegression_LOSO,12,2025-11-25 18:30:27.237932,41.0,0.3904761904761905,0.4,1.1428571428571428,1.3714285714285714,35
5,Mirassol,6.0,1,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
5,Atlético-MG,5.0,1,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
5,Botafogo,5.0,1,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,58.0,0.5523809523809524,0.7333333333333333,1.4285714285714286,0.9142857142857143,35
5,Fortaleza,5.0,1,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,34.0,0.3333333333333333,0.6,1.088235294117647,1.5588235294117647,34
5,Vitória,5.0,1,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,39.0,0.37142857142857144,0.5333333333333333,0.9142857142857143,1.3714285714285714,35
5,Grêmio,4.0,1,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,43.0,0.4095238095238095,0.26666666666666666,1.1142857142857143,1.3142857142857143,35
5,Santos,4.0,1,LogisticRegression_LOSO,19,2025-11-25 18:30:27.237932,38.0,0.3619047619047619,0.2,1.0285714285714285,1.4285714285714286,35
5,Sport,1.0,0,LogisticRegression_LOSO,20,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
6,Flamengo,14.0,4,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
6,Bragantino,13.0,4,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
6,Palmeiras,13.0,4,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
6,Cruzeiro,10.0,3,LogisticRegression_LOSO,4,2025-11-25 18:30:27.237932,68.0,0.6476190476190476,0.7333333333333333,1.4857142857142858,0.7142857142857143,35
6,Fluminense,10.0,3,LogisticRegression_LOSO,5,2025-11-25 18:30:27.237932,55.0,0.5238095238095238,0.5333333333333333,1.1428571428571428,1.0857142857142856,35
6,Bahia,9.0,2,LogisticRegression_LOSO,6,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
6,Internacional,9.0,2,LogisticRegression_LOSO,7,2025-11-25 18:30:27.237932,41.0,0.3904761904761905,0.4,1.1428571428571428,1.3714285714285714,35
6,Botafogo,8.0,2,LogisticRegression_LOSO,8,2025-11-25 18:30:27.237932,58.0,0.5523809523809524,0.7333333333333333,1.4285714285714286,0.9142857142857143,35
6,Ceará,8.0,2,LogisticRegression_LOSO,9,2025-11-25 18:30:27.237932,42.0,0.4,0.4666666666666667,0.9142857142857143,1.0,35
6,São Paulo,8.0,1,LogisticRegression_LOSO,10,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
6,Corinthians,7.0,2,LogisticRegression_LOSO,11,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.4,1.0857142857142856,1.2,35
6,Juventude,7.0,2,LogisticRegression_LOSO,12,2025-11-25 18:30:27.237932,33.0,0.3142857142857143,0.4666666666666667,0.9428571428571428,1.8285714285714285,35
6,Vasco,7.0,2,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,42.0,0.4,0.0,1.4285714285714286,1.4857142857142858,35
6,Mirassol,7.0,1,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
6,Atlético-MG,6.0,1,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
6,Fortaleza,6.0,1,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,34.0,0.3333333333333333,0.6,1.088235294117647,1.5588235294117647,34
6,Vitória,6.0,1,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,39.0,0.37142857142857144,0.5333333333333333,0.9142857142857143,1.3714285714285714,35
6,Grêmio,5.0,1,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,43.0,0.4095238095238095,0.26666666666666666,1.1142857142857143,1.3142857142857143,35
6,Santos,4.0,1,LogisticRegression_LOSO,19,2025-11-25 18:30:27.237932,38.0,0.3619047619047619,0.2,1.0285714285714285,1.4285714285714286,35
6,Sport,2.0,0,LogisticRegression_LOSO,20,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
7,Bragantino,16.0,5,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
7,Palmeiras,16.0,5,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
7,Flamengo,14.0,4,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
