rodada,partida_id,placar,placar_mandante,placar_visitante,status,data_realizacao,edicao.edicao_id,edicao.temporada,edicao.nome_popular,campeonato.campeonato_id,campeonato.nome,campeonato.slug,time_mandante.time_id,time_mandante.nome_popular,time_mandante.sigla,time_mandante.escudo,time_visitante.time_id,time_visitante.nome_popular,time_visitante.sigla,time_visitante.escudo,estadio.estadio_id,estadio.nome_popular,rodada_num,time_mandante.valor,time_visitante.valor
20a-rodada,6034149,1x0,1,0,finalizado,45502,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Grêmio,,,,Vasco,,,,Arena Condá,20,43000000,31300000
20a-rodada,5821480,1x2,1,2,finalizado,45502,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Athletico-PR,,,,Arena Pantanal,20,14500000,20650000
20a-rodada,70741944,2x1,2,1,finalizado,45502,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Corinthians,,,,Arena MRV,20,61800000,37300000
21a-rodada,39280265,1x0,1,0,finalizado,45507,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vitória,,,,Cuiabá,,,,Estádio Manoel Barradas,21,9130000,15200000
21a-rodada,44881283,1x0,1,0,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Bahia,,,,Estádio Jornalista Mário Filho,21,56250000,43450000
21a-rodada,31947786,1x0,1,0,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Flamengo,,,,MorumBIS,21,26250000,56700000
21a-rodada,77608365,1x1,1,1,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Juventude,,,,Neo Química Arena ,21,40000000,9550000
21a-rodada,29737191,0x2,0,2,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Grêmio,,,,Ligga Arena,21,31200000,21900000
21a-rodada,29324711,1x4,1,4,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Botafogo,,,,Estádio Antonio Accioly,21,9650000,30800000
21a-rodada,93837186,2x1,2,1,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Criciúma,,,,Atlético-MG,,,,Estádio Heriberto Hülse,21,7500000,60500000
21a-rodada,40325582,1x1,1,1,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Palmeiras,,,,Estádio Beira-Rio,21,46900000,78000000
21a-rodada,49040994,2x2,2,2,finalizado,45508,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vasco,,,,Bragantino,,,,Estádio São Januário,21,24080000,27500000
21a-rodada,48303407,1x2,1,2,finalizado,45510,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,Fortaleza,,,,Estádio Estadual Kléber José de Andrade,21,42300000,11200000
22a-rodada,54820230,1x0,1,0,finalizado,45514,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fortaleza,,,,Criciúma,,,,Estádio Governador Plácido Castelo,22,11450000,6300000
